y/h,y^+,U,u'u',v'v',w'w',-Om_z+,om_x'+,om_y'+,om_z'+,u'v',u'w',v'w',pr'+,ps'+,psto'+,p',k,dU/dy
0.25357957,236.83414,18.675022,1.712803,1.0051273,1.1817249,0.011885325,0.055502083,0.051480062,0.051278006,-0.73423862,-0.0059686666,4.5691799e-05,1.0032908,1.6101937,0.036953826,1.9666662,1.9498275999999999,0.011886176322680742
0.25904888,241.94228,18.735214,1.7053859,1.0020809,1.1766149,0.011678872,0.054818645,0.050838798,0.050641336,-0.72895759,-0.0060669216,7.2067487e-05,0.99603373,1.5983887,0.03666617,1.952289,1.9420408499999997,0.01168017185305481
0.26456786,247.0968,18.794882,1.6978951,0.99899107,1.1714925,0.011477362,0.054143649,0.050211567,0.050021358,-0.72363913,-0.0062090741,0.00011929195,0.98879117,1.5866143,0.036386617,1.937987,1.9341893350000001,0.011479459526600788
0.27013595,252.2972,18.854074,1.6903559,0.99585199,1.1663824,0.011285424,0.053475592,0.049597006,0.04941291,-0.7182731,-0.0063743577,0.00017319359,0.98156887,1.5748459,0.036114555,1.9237413,1.926295145,0.011287546571246754
0.27575292,257.54324,18.912788,1.6827507,0.99266016,1.1612779,0.011104233,0.052812897,0.048994798,0.04881512,-0.71283478,-0.0065215756,0.00022920292,0.97436297,1.5630921,0.03585007,1.9095542,1.91834438,0.011105395882101243
0.28141839,262.83459,18.971088,1.6750715,0.98941821,1.156162,0.01092851,0.052164018,0.048405044,0.048233334,-0.70731884,-0.0066180397,0.0002954916,0.96717542,1.5513895,0.035592575,1.8954543,1.910325855,0.0109301813554743
0.28713197,268.17087,19.028942,1.6673263,0.98611671,1.1510212,0.010759832,0.051532816,0.047827616,0.047661766,-0.70172632,-0.0066508399,0.00037822966,0.95999992,1.5397512,0.03534219,1.8814396,1.902232105,0.010760973331769286
0.29289322,273.55167,19.086407,1.6595243,0.98274916,1.1458441,0.010596116,0.050912067,0.047261238,0.047095627,-0.69606036,-0.0066340743,0.00046969479,0.95283759,1.5281391,0.035098333,1.8674703,1.89405878,0.010597199031105786
0.29870182,278.97668,19.143446,1.6516656,0.9793154,1.1406143,0.01043645,0.050306343,0.046704788,0.046535559,-0.69033003,-0.0066542835,0.00056166243,0.94568139,1.5165265,0.034861144,1.8535185,1.8857976500000002,0.010437177757184779
0.3045574,284.44559,19.200102,1.6437609,0.97583199,1.1353451,0.010280024,0.049714725,0.046158269,0.045985851,-0.68454581,-0.0066770213,0.00063624512,0.93853265,1.504949,0.034630071,1.83962,1.877468995,0.010280857710767588
0.31045951,289.95795,19.256336,1.635813,0.97230893,1.1300364,0.010127483,0.049133744,0.045620568,0.045444392,-0.67871612,-0.0066780508,0.00068266923,0.9313851,1.4934468,0.034405265,1.8258108,1.869079165,0.010128078298658583
